id,player_api_id,tm_player_id,player_name,player_fifa_api_id,birthday,height,weight
1,505942,0,Aaron Appindangoye,218353,1992-02-29 00:00:00,182.88,187
2,155782,92571,Aaron Cresswell,189615,1989-12-15 00:00:00,170.18,146
3,162549,96148,Aaron Doran,186170,1991-05-13 00:00:00,170.18,163
4,30572,28150,Aaron Galindo,140161,1982-05-08 00:00:00,182.88,198
5,23780,3580,Aaron Hughes,17725,1979-11-08 00:00:00,182.88,154
6,27316,4687,Aaron Hunt,158138,1986-09-04 00:00:00,182.88,161
7,564793,249884,Aaron Kuhl,221280,1996-01-30 00:00:00,172.72,146
8,30895,14221,Aaron Lennon,152747,1987-04-16 00:00:00,165.1,139
9,528212,216896,Aaron Lennox,206592,1993-02-19 00:00:00,190.5,181
10,101042,56836,Aaron Meijers,188621,1987-10-28 00:00:00,175.26,170
11,23889,4756,Aaron Mokoena,47189,1980-11-25 00:00:00,182.88,181
12,231592,123951,Aaron Mooy,194958,1990-09-15 00:00:00,175.26,150
13,163222,120980,Aaron Muirhead,213568,1990-08-30 00:00:00,187.96,168
14,40719,57943,Aaron Niguez,183853,1989-04-26 00:00:00,170.18,143
15,75489,50057,Aaron Ramsey,186561,1990-12-26 00:00:00,177.8,154
16,597948,305977,Aaron Splaine,226014,1996-10-13 00:00:00,172.72,163
17,161644,0,Aaron Taylor-Sinclair,213569,1991-04-08 00:00:00,182.88,176
18,23499,67202,Aaron Wilbraham,2335,1979-10-21 00:00:00,190.5,159
19,120919,73480,Aatif Chahechouhe,187939,1986-07-02 00:00:00,175.26,150
20,46447,31055,Abasse Ba,156626,1976-07-12 00:00:00,187.96,185
21,167027,93664,Abdelaziz Barrada,192274,1989-06-19 00:00:00,177.8,161
22,245653,160384,Abdelfettah Boukhriss,202425,1986-10-22 00:00:00,185.42,161
23,128456,74615,Abdelhamid El Kaoutari,188145,1990-03-17 00:00:00,180.34,161
24,42664,76406,Abdelkader Ghezzal,178063,1984-12-05 00:00:00,182.88,172
25,425950,256973,Abdellah Zoubir,212934,1991-12-05 00:00:00,180.34,161
26,38423,6111,Abdelmajid Oulmers,52782,1978-09-12 00:00:00,172.72,143
27,3264,5546,Abdelmalek Cherrad,51868,1981-01-14 00:00:00,185.42,165
28,467485,0,Abdelmalek El Hasnaoui,209399,1994-02-09 00:00:00,180.34,159
29,306735,214021,Abdelouahed Chakhsi,210504,1986-10-01 00:00:00,182.88,170
30,41659,0,Abderrazak Jadid,149241,1983-06-01 00:00:00,177.8,157
31,31684,4002,Abdeslam Ouaddou,33022,1978-11-01 00:00:00,190.5,181
32,32637,39078,Abdessalam Benjelloun,177295,1985-01-28 00:00:00,187.96,179
33,563215,229005,Abdou Diallo,225711,1996-05-04 00:00:00,182.88,159
34,41093,66415,Abdou Traore,187048,1988-01-17 00:00:00,180.34,174
35,564712,322351,Abdoul Ba,225050,1994-02-08 00:00:00,200.66,212
36,67334,0,Abdoul Karim Yoda,188232,1988-10-25 00:00:00,182.88,161
37,173955,0,Abdoul Razzagui Camara,193953,1990-02-20 00:00:00,177.8,157
38,39562,22139,Abdoulay Konko,161999,1984-03-09 00:00:00,182.88,157
39,191784,106837,Abdoulaye Ba,204826,1991-01-01 00:00:00,198.12,174
40,210400,62351,Abdoulaye Bamba,199313,1990-04-25 00:00:00,182.88,150
41,201915,0,Abdoulaye Diaby,202330,1991-05-21 00:00:00,172.72,154
42,194479,0,"Abdoulaye Diallo Sadio,22",204171,1990-12-28 00:00:00,182.88,168
43,189181,126681,Abdoulaye Diallo,197233,1992-03-30 00:00:00,187.96,174
44,352887,127187,Abdoulaye Doucoure,208135,1993-01-01 00:00:00,182.88,165
45,40005,6107,Abdoulaye Faye,100329,1978-02-26 00:00:00,187.96,218
46,409003,178019,Abdoulaye Keita,212280,1994-01-05 00:00:00,175.26,165
47,37280,5315,Abdoulaye Meite,41745,1980-10-06 00:00:00,185.42,181
48,439366,181382,Abdoulaye Toure,210450,1994-03-03 00:00:00,187.96,170
49,148827,0,Abdoulwahid Sissoko,189568,1990-03-20 00:00:00,182.88,165
50,173011,0,Abdourahman Dampha,197901,1991-12-27 00:00:00,182.88,168
51,419681,0,Abdul Aziz Tetteh,190193,1989-02-10 00:00:00,182.88,190
52,196947,0,Abdul Majeed Waris,198420,1991-09-19 00:00:00,172.72,157
53,89405,52101,Abdul Osman,184768,1987-02-27 00:00:00,182.88,154
54,324910,0,Abdul Rahman Baba,209620,1994-07-02 00:00:00,177.8,154
55,67952,0,Abdul-Yakinu Iddi,180316,1986-05-25 00:00:00,172.72,146
56,31012,0,Abdulkader Keita,157191,1981-08-06 00:00:00,182.88,172
57,176301,63314,Abdulla Fatadi,210766,1985-11-02 00:00:00,175.26,172
58,307227,0,Abdullah Al Hafith,207716,1992-12-25 00:00:00,187.96,165
59,176302,63319,Abdullah Omar,192670,1987-01-01 00:00:00,175.26,157
60,525595,262687,Abdullahi Shehu,229026,1993-03-12 00:00:00,180.34,159
61,24385,37388,Abel Aguilar,177974,1985-01-06 00:00:00,185.42,176
62,29904,29065,Abel Gomez,111085,1982-02-20 00:00:00,182.88,165
